model,target,rmse,mae,r2,mape_pct
linear,load_FL_N,299.1041614725847,214.81360217540322,0.9746109507185765,6.614886808096164
linear,load_FR_N,287.68733922823117,211.7378975015049,0.9740938018456049,4.740140909673394
linear,load_RL_N,294.97840930655804,211.95227337690528,0.9753937362869048,9.705919985392757
linear,load_RR_N,295.0840235450325,217.84163800100904,0.9731004140547588,9.618107473879412
linear,vibration_rms_mps2,0.04230831467654043,0.02961002770569405,0.9518983101579316,2.9323379495521555
ridge,load_FL_N,298.15953900354515,213.48890194426815,0.9747710634697547,6.562601030302305
ridge,load_FR_N,286.77194619194864,211.39056535713863,0.9742584015465968,4.741733750505891
ridge,load_RL_N,294.09954833141,211.0980122353363,0.9755401420486223,9.680534958204177
ridge,load_RR_N,293.7626366973846,216.75035624677207,0.9733407874500922,9.643765863868571
ridge,vibration_rms_mps2,0.04229187334091468,0.029658344945981026,0.9519356882651214,2.9384371346623777
random_forest,load_FL_N,181.5255928074773,112.51773665735529,0.9906485866282024,3.6257131252574295
random_forest,load_FR_N,161.69876856677368,101.21109286596155,0.9918158117743615,2.33123636001342
random_forest,load_RL_N,189.8792677228325,114.47231479683938,0.9898042233811428,5.353910863514948
random_forest,load_RR_N,186.10754967712595,111.98507013155402,0.9893000392552068,4.8121701986253225
random_forest,vibration_rms_mps2,0.11940940968266,0.08616814044240079,0.6168348651323573,8.415535677313153
gradient_boosting,load_FL_N,247.74245241365193,190.4072007659484,0.9825818353143144,5.023683205195177
gradient_boosting,load_FR_N,254.17500603471035,191.1502398330225,0.9797778247812245,4.360108191803894
gradient_boosting,load_RL_N,248.89900826089308,189.4738575846564,0.9824809098334673,7.0492654900937115
gradient_boosting,load_RR_N,252.04883867496912,189.99904246045986,0.9803743701504897,7.092524227608426
gradient_boosting,vibration_rms_mps2,0.006819628645846366,0.0051450858528388314,0.9987502293116137,0.5102591598983355
